text,Gender equality - general,Equal pay,Increased awareness,Advocacy and Activism,Policy Changes,Media Coverage,Changing attitudes /societal,Representation and role models,Legal Frameworks,Gender inclusivity in traditionally masculine sports,Access to resources and education,Race related themes,Transgender related themes,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive brands,ResponseId
Parcquil includes everyone,,,,,,,,,,,,,,1,France,Woman,Football,45-54,Athletics,155213019
More publicized,,,1,,,1,,,,,,,,,France,Woman,Rugby,45-54,Golf,155213036
NO GENDER FREEDOM,,,,,,,,,,,,,,1,France,Man,Football,55-65,Gymnastics,155213041
Society is moving forward and so are mentalities,,,,,,,1,,,,,,,,France,Man,Athletics,18-24,Cycling,155213044
Salary of professionals,,1,,,,,,,,,,,,,France,Woman,Gymnastics,45-54,Tennis,155213107
Moderately,,,,,,,,,,,,,,1,France,Woman,Football,25-34,Basketball,155213109
it changes,,,,,,,,,,,,,,1,France,Man,Football,45-54,Rugby,155213175
We recognize women's sport much more,,,,,,,,,,1,,,,,France,Woman,Football,25-34,Handball,155213237
We make efforts to ensure that all genders are equal.,,,,,,,,,,1,,,,,France,Woman,Handball,45-54,Rugby,155213294
Because it got better,,,,,,,,,,,,,,1,Sweden,Man,Golf,25-34,Basketball,155213322
"Because now there are more men doing gym, more women doing rugby",,,,,,,,,,1,,,,,France,Man,Handball,35-44,Gymnastics,155213349
Development is progressing on all levels. Several soccer teams now have women's teams,,,,,,,,,,1,,,,,Sweden,Woman,Handball,35-44,Gymnastics,155213357
Higher culture of society,,,,,,,1,,,,,,,,Poland,Man,Tennis,45-54,Rugby,155213397
The interest of women itself favors this,,,,,,,,,,,,,,1,Poland,Man,Athletics,35-44,Football,155213411
"This is becoming more and more common, among others: women in sports that were started by men and are finding their place in it. E.g. e-sports",,,,,,,,,,1,,,,,Poland,Man,Volleyball,18-24,Rugby,155213429
All genders are equal,,,,,,,,,,1,,,,,Poland,Man,Gymnastics,45-54,Rugby,155213431
Example of professional football,,,,,,,,,,,,,,1,France,Woman,Gymnastics,35-44,Golf,155213437
Equalizing winning rates,,,,,,,,,,,,,,1,Poland,Man,Tennis,45-54,Golf,155213445
"Compared to previous years, more and more women appear in various sports fields",,,,,,,,,,1,,,,,Poland,Man,Tennis,35-44,Football,155213452
Because we have made progress in most sectors in recent years,,,,,,,,,,,,,,1,Poland,Woman,Gymnastics,25-34,Rugby,155213460
"I think there is greater gender equality in the sports sector now, it's going slowly but there is more and more progress.",1,,,,,,,,,1,,,,,Poland,Woman,Football,55-65,Athletics,155213468
Women's successes in sports and publicity are greater,,,,,,,,,,1,,,,,Poland,Man,Tennis,25-34,Rugby,155213508
It's handball,,,,,,,,,,,,,,1,France,Man,Tennis,25-34,Rugby,155213532
Not really,,,,,,,,,,,,,,1,France,Woman,Handball,25-34,Football,155213557
Because he is popular,,,,,,,,,,,,,,1,Poland,Man,Handball,25-34,Football,155213563
There is progress in the media,,,,,,1,,,,,,,,,France,Man,Volleyball,35-44,Golf,155213580
Because it is growing in popularity every day,,,,,,,,,,,,,,1,Poland,Man,Athletics,25-34,Football,155213625
"Because I think it’s a fashion effect, a marketing strategy so there is more communication around it and therefore it is more visible",,,,,,,,,,,,,,1,France,Woman,Athletics,45-54,Rugby,155213652
Women are fighting more for their rights,,,,1,,,,,,,,,,,Poland,Man,Volleyball,35-44,Golf,155213716
More has been raised,,,,,,,,,,,,,,1,Sweden,Woman,Volleyball,25-34,Rugby,155213953
"Media, women's football and fight for equality in prizes",,1,,,,1,,,,1,,,,,UK,Woman,Gymnastics,45-54,Rugby,155214041
Because it has to be,,,,,,,,,,,,,,1,UK,Woman,Cycling,45-54,Rugby,155214060
I think because people have made a stand against it and being inclusive is what’s in right now,,,,,,,,,,,,,,1,UK,Woman,Athletics,25-34,Football,155214082
The world is adapting,,,,,,,1,,,,,,,,UK,Woman,Volleyball,25-34,Rugby,155214110
is more widespread,,,,,,,,,,,,,,1,Spain,Woman,Football,35-44,Rugby,155214114
More and more women are seeing it,,,1,,,,,,,,,,,,Spain,Woman,Football,25-34,Cycling,155214138
Because women have stepped up to put on a show,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,45-54,Rugby,155214181
More awareness,,,1,,,1,1,,,,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155214192
You see more women,,,,,,1,,,,,,,,,Spain,Woman,Volleyball,45-54,Rugby,155214207
More showing of woman’s game on tv,,,,,,1,,,,,,,,,UK,Woman,Unstated,25-34,,155214216
There has been a shift,,,,,,,1,,,,,,,,Sweden,Woman,Gymnastics,25-34,Tennis,155214254
There are more televised sports of both genders,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,35-44,Handball,155214271
Society is asking for it more and more,,,,,,,1,,,,,,,,Spain,Woman,Tennis,35-44,Rugby,155214288
More relevance is being given to these types of participation that try to achieve the objective of gender inclusion.,,,,,,,,,,1,,,,,Spain,Man,Tennis,55-65,Rugby,155214341
You can see that. I notice faces that belong to LGBTQ+ You can see that,,,,,,,,,,,,,1,,Germany,Man,Gymnastics,55-65,Tennis,155214357
Women are becoming more equal,1,,,,,,1,,,1,,,,,Sweden,Woman,Football,55-65,Rugby,155214370
women's sports are becoming more visible,,,,,,,,,,1,,,,,Spain,Woman,Football,55-65,Rugby,155214371
I think that society fortunately evolved,,,,,,,1,,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155214376
we move forward as people,,,,,,,,,,,,,,1,Spain,Woman,Tennis,55-65,Rugby,155214386
"Girls have the opportunity to at least participate in sports, although they still have little decision-making",,,,,,,,,,1,,,,,Spain,Woman,Unstated,35-44,,155214391
In football for example,,,,,,,,,,,,,,1,Spain,Man,Unstated,55-65,,155214392
Now it is more equal than 5 years ago,1,,,,,,,,,,,,,,Spain,Man,Cycling,55-65,Football,155214421
There are more women's teams than years ago,,,,,,,,,,1,,,,,Spain,Woman,Athletics,35-44,Rugby,155214437
Why there is a small effort being made to promote women's leagues more,,,,,,,,,,1,,,,,Spain,Man,Gymnastics,25-34,Rugby,155214443
More women’s sports televised,,,,,,,,,,1,,,,,UK,Woman,Football,25-34,Rugby,155214452
Society is more aware,,,1,,,,1,,,,,,,,Spain,Woman,Athletics,35-44,Rugby,155214456
For the fight for rights,,,,1,,,,,,,,,,,Spain,Woman,Gymnastics,25-34,Golf,155214461
because we have evolved,,,,,,,,,,,,,,1,Spain,Woman,Athletics,25-34,Football,155214466
People are more aware of living in an inclusive society,,,1,,,,1,,,,,,,,UK,Woman,Football,55-65,Volleyball,155214537
because -women- tend to participate in greater numbers in sports previously considered feminine,,,,,,,,,,1,,,,,Spain,Man,Cycling,55-65,Golf,155214595
The world is changing,,,,,,,1,,,,,,,,UK,Woman,Football,25-34,Basketball,155214634
by gender,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,25-34,Rugby,155214638
People are more aware of it and football has promotedWomen well,,,1,,,,,,,1,,,,,UK,Woman,Athletics,35-44,Basketball,155214672
There is much more impact in many sports,,,,,,,,,,1,,,,,Spain,Man,Athletics,25-34,Volleyball,155214717
for the struggle of women,,,,,,,,,,,,,,1,Spain,Woman,Cycling,25-34,Basketball,155214720
There is more equality in sports,1,,,,,,,,,1,,,,,Spain,Man,Tennis,25-34,Rugby,155214764
You also often see women’s football or hear female commentators or presenters,,,,,,1,,,,1,,,,,Germany,Woman,Unstated,45-54,,155214773
I THINK SOME MEASURES ARE BEING ADOPTED IN THAT SENSE.,,,,,,,,,,,,,,1,Spain,Man,Football,55-65,Handball,155214787
Women are now making it clear they can be just as good as men and it is more accepted these days,,,,,,,,,,1,,,,,UK,Woman,Gymnastics,55-65,Basketball,155214833
Feminism has made it possible.,,,,,,,,,,,,,,1,Spain,Man,Rugby,35-44,Cycling,155214889
there more competition,,,,,,,,,,,,,,1,Spain,Man,Rugby,35-44,Gymnastics,155214908
"For a few years now, all those stereotypes of our grandparents where women couldn't play soccer and men couldn't do ballet have been fading and now when a little girl tells her parents that she wants to play soccer, there are teams and centers. where you can do it. The demand for women to participate in sports activities came with a small supply of opportunities that have made it possible for many women to make a living from sports. Great female role models such as Serena Williams, Edurne Pasaban and Mireia Belmonte have helped little girls have role models and know that they are capable of achieving many things.",,,,,,,1,,,1,,,,,Spain,Woman,Athletics,25-34,Golf,155214916
Because now the news about girls in sports is more echoed.,,,,,,1,,,,1,,,,,Spain,Man,Gymnastics,25-34,Rugby,155214943
Something has already happened but not enough,,,,,,,,,,,,,,1,Germany,Woman,Tennis,35-44,Football,155215030
More media representation due to euro champs,,,,,,1,,,,,,,,,UK,Woman,Cycling,18-24,Football,155215071
Has improved with people's views,,,,,,,1,,,,,,,,Germany,Woman,Basketball,25-34,Football,155215168
More people who identify as transgender are able to play more sports,,,,,,,,,,1,,,1,,UK,Woman,Unstated,35-44,,155215219
The time. People talk about it so much more today than before,,,,,,,,,,,,,,1,Sweden,Woman,Football,45-54,Rugby,155215282
More awareness and less acceptable to leave women and girls out of consideration,,,1,,,,,,,1,,,,,UK,Woman,Unstated,35-44,,155215381
More is done to ensure women have the same experience as men,,,,,,,,,,1,,,,,UK,Woman,Rugby,25-34,Golf,155215431
Supporters want it,,,,,,,,,,,,,,1,UK,Woman,Tennis,45-54,Football,155215458
women are being heard more,,,,,,1,,,,,,,,,UK,Woman,Gymnastics,18-24,Golf,155215492
Attitudes in society are changing,,,,,,,1,,,,,,,,UK,Woman,Football,55-65,Rugby,155215567
Has gotten better where both men and women earn equally or more equally,1,,,,,,,,,,,,,,Sweden,Woman,Handball,45-54,Rugby,155215823
"There is increasing coverage of women's teams and games are being broadcast, and wages and player salaries have increased slightly, although mainly in women's football.",,,,,,1,,,,1,,,,,Germany,Woman,Tennis,35-44,Rugby,155215902
The first successes have been achieved,,,,,,,,,,,,,,1,Germany,Woman,Cycling,45-54,Football,155216071
It is just like that,,,,,,,,,,,,,,1,Germany,Man,Tennis,55-65,Basketball,155216255
I can not say it,,,,,,,,,,,,,,1,Germany,Man,Athletics,45-54,Football,155216275
Women are fighting and demanding more and more human rights. Some athletes deliberately do not go to competitions that take place in countries where women are oppressed.,,,,1,,,,,,1,,,,,Germany,Woman,Handball,35-44,Athletics,155216686
It doesn't matter what is good.,,,,,,,,,,,,,,1,Germany,Man,Basketball,55-65,Rugby,155216873
It has become accepted in society because it was and is dealt with openly.,,,,,,,1,,,,,,,,Germany,Man,Football,45-54,Golf,155216882
Equality,,,,,,,,,,,,1,,,Sweden,Man,Football,55-65,Handball,155217204
Because athletes are more likely to go public and complain about grievances,,,,,,,,,,,,,,1,Germany,Woman,Athletics,45-54,Rugby,155217213
better education and discussion in the public,,,1,,,,,,,,,,,,Germany,Woman,Athletics,55-65,Rugby,155217385
"It is being strengthened and diversified more, although in a very uneven way depending on the sport.",,,,,,,,,,1,,,,,Spain,Man,Gymnastics,35-44,Rugby,155452233
Because things are changing,,,,,,,1,,,,,,,,Spain,Woman,Athletics,35-44,Rugby,155452289
Because the religion of radical feminism has increased,,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Rugby,155452307
concepts evolve,,,,,,,1,,,,,,,,Spain,Man,Athletics,55-65,Golf,155452358
The change has begun,,,,,,,1,,,,,,,,Germany,Woman,Gymnastics,45-54,Football,155452435
It is starting to move but very slowly,,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Football,155452442
More importance is being given to women's sports,,,,,,,,,,1,,,,,Spain,Man,Gymnastics,55-65,Rugby,155452462
In football or rugby we see more and more women's teams,,,,,,1,,,,1,,,,,France,Man,Gymnastics,25-34,Golf,155452468
Because they have fought to make them possible for decades.,,,,,,,,,,,,,,1,Spain,Woman,Golf,35-44,Tennis,155452470
It's more media,,,,,,1,,,,,,,,,France,Woman,Gymnastics,45-54,Tennis,155452472
Gender equality,1,,,,,,,,,1,,,,,France,Man,Handball,35-44,Rugby,155452482
There is a little more equality between men and women now unlike before,1,,,,,,,,,,,,,,France,Man,Football,35-44,Gymnastics,155452626
The media coverage...,,,,,,1,,,,,,,,,Sweden,Man,Golf,55-65,Gymnastics,155452835
I know,,,,,,,,,,,,,,1,France,Man,Rugby,35-44,Volleyball,155453048
Because sport is health and life,,,,,,,,,,,,,,1,France,Man,Football,25-34,Athletics,155453239
Society's values ​​are spread in sport,,,,,,,1,,,1,,,,,Sweden,Man,Gymnastics,45-54,Football,155453365
More publicized than before,,,1,,,1,,,,,,,,,France,Man,Gymnastics,25-34,Golf,155454328
Times have changed. Many women have paved the way.,,,,,,,,,,,,,,1,Poland,Woman,Handball,35-44,Football,155455557
More and more women are interested in sports compared to the 20th century,,,,,,,,,,1,,,,,Poland,Woman,Athletics,25-34,Football,155455642
Women are increasingly fighting for themselves,,,,,,,,,,,,,,1,Poland,Woman,Tennis,35-44,Rugby,155455687
"Because it allows men pretending to be women to compete in women's competitions while discriminating against real women, just for example",,,,,,,,,,1,,,,,Poland,Woman,Unstated,25-34,,155455850
Women's football gets more airtime and money now,,,,,,,,,,1,,,,,UK,Woman,Athletics,55-65,Rugby,155455989
It is on the news and social media nonstop,,,,,,1,,,,,,,,,UK,Woman,Gymnastics,45-54,Rugby,155456049
Football,,,,,,,,,,,,,,1,UK,Woman,Athletics,25-34,Rugby,155456173
More equality,1,,,,,,,,,,,,,,France,Man,Football,25-34,Cycling,155456347
More interest,,,1,,,,,,,,,,,,UK,Man,Rugby,55-65,Handball,155456588
It is improving,,,,,,,,,,,,,,1,UK,Woman,Cycling,55-65,Tennis,155456614
There have been efforts made,,,,,,,1,,,,,,,,France,Woman,Athletics,45-54,Handball,155456637
Better media representation,,,,,,1,,1,,,,,,,UK,Man,Tennis,25-34,Rugby,155456662
Athletic,,,,,,,,,,,,,,1,UK,Woman,Athletics,25-34,Football,155456665
There has been more consideration for women in sports.,,,,,,,,,,1,,,,,UK,Woman,Athletics,25-34,Rugby,155456684
all genders are shown more on tv,,,,,,1,,,,1,,,,,UK,Woman,Football,18-24,Golf,155456732
Mental evolution,,,,,,,1,,,,,,,,France,Woman,Golf,25-34,Athletics,155457236
Because people mobilized for this,,,,,,,,,,,,,,1,France,Woman,Gymnastics,35-44,Cycling,155457297
Because it's always like that,,,,,,,,,,,,,,1,France,Woman,Football,45-54,Volleyball,155457321
We talk more about inclusion in general so the sports sector is concerned,,,,,,,,,,1,,,,,France,Woman,Handball,35-44,Football,155457499
With the Olympics we see the emergence of women in professional sport,,,,,,,,,,1,,,,,France,Woman,Gymnastics,45-54,Rugby,155457501
I see that this is evolving but very slowly,,,,,,,,,,,,,,1,France,Woman,Gymnastics,55-65,Rugby,155458173
Differences in treatment between women and men have decreased,,,,,,,,,,,,,,1,France,Woman,Athletics,35-44,Football,155458769
More equality in society,1,,,,,,1,,,,,,,,Sweden,Man,Football,55-65,Gymnastics,155458952
There are many more topics related to inclusion,,,,,,,,,,1,,1,,,France,Woman,Athletics,25-34,Rugby,155459162
Thanks to social networks,,,,,,,,,,,,,,1,France,Man,Gymnastics,25-34,Rugby,155459198
We talk more about women,,,,,,,,,,,,,,1,France,Woman,Tennis,55-65,Handball,155459319
Presence of more women's sports,,,,,,,,,,1,,,,,France,Woman,Tennis,25-34,Football,155459371
Women participate equally in sporting events,,,,,,,,,,1,,,,,France,Woman,Tennis,45-54,Golf,155459645
We don't hear about it anymore,,,,,,1,,,,,,,,,France,Woman,Athletics,25-34,Cycling,155459697
more openness,,,1,,,,1,,,,,,,,France,Woman,Golf,45-54,Rugby,155459738
Don't pay too much and a lot of effort,,1,,,,,,,,,,,,,France,Woman,Rugby,25-34,Golf,155459808
Illuminated,,,,,,,,,,,,,,1,Sweden,Man,Football,45-54,Golf,155462304
More women can make a living at the elite level,,,,,,,,,,1,,,,,Sweden,Man,Football,45-54,Rugby,155462474
See more women,,,,,,,,,,,,,,1,Sweden,Woman,Athletics,35-44,Rugby,155471215
"Everything is more gender inclusive now. Hence my assumption. Otherwise, I don't know much about sports.",,,,,,,,,,1,,,,,Sweden,Woman,Golf,25-34,Football,155471236
Because people from hbtqi people get,,,,,,,,,,,,,,1,Sweden,Woman,Football,18-24,Rugby,155471322
Because of the marketing,,,,,,,,,,,,,,1,Sweden,Woman,Tennis,35-44,Golf,155471430
Therefore I think so,,,,,,,,,,,,,,1,Sweden,Woman,Golf,35-44,Rugby,155471515
More are open about it,,,1,,,,,,,,,,,,Sweden,Woman,Football,25-34,Golf,155471547
There are female and male sports players,,,,,,,,,,1,,,,,Sweden,Woman,Gymnastics,35-44,Volleyball,155471710
I follow it a bit,,,,,,,,,,,,,,1,Germany,Woman,Football,35-44,Tennis,155485336
More variety,,,,,,,,,,,,,,1,Germany,Woman,Volleyball,25-34,Rugby,155485432
It is a terrible mistake,,,,,,,,,,,,,,1,Germany,Woman,Handball,55-65,Football,155485499
a lot has changed,,,,,,,,,,,,,,1,Germany,Woman,Athletics,18-24,Golf,155485547
"Recently, there has been tremendous support for women and promotion of gender equality.",1,,,,,,,,,1,,,,,Germany,Man,Football,45-54,Cycling,155485668
"I can only say this in relation to football, as that is what I have observed the most. Doesn't mean that I think it is completely fair, but there has definitely been some development.",,,,,,,,,,,,,,1,Germany,Woman,Tennis,25-34,Rugby,155485798
Much has to be done to establish an equal position,,,,,,,,,,,,,,1,Germany,Woman,Golf,25-34,Rugby,155485831
Clubs are becoming more active,,,,,,,,,,,,,,1,Germany,Woman,Gymnastics,45-54,Basketball,155486421
Because women’s sport can also be found in the media,,,,,,1,,,,1,,,,,Germany,Woman,Gymnastics,45-54,Football,155486563
I can not exactly tell,,,,,,,,,,,,,,1,Germany,Woman,Tennis,45-54,Rugby,155487899
Because more people are taking to the streets,,,,,,,,,,,,,,1,Germany,Man,Football,18-24,Handball,155488263
Yes,,,,,,,,,,,,,,1,Germany,Man,Cycling,35-44,Athletics,155488327
Times have changed and women practicing sports are now perceived differently,,,,,,,1,,,1,,,,,Poland,Woman,Basketball,25-34,Athletics,155495341
There are more championships for women,,,,,,,,,,1,,,,,Poland,Woman,Athletics,25-34,Rugby,155495416
more possibilities,,,,,,,,,,,,,,1,Poland,Woman,Gymnastics,25-34,Basketball,155495429
He moves at all and notices this problem.,,,,,,,,,,,,,,1,Poland,Man,Athletics,45-54,Rugby,155495523
More and more representatives appear,,,,,,,,1,,,,,,,Poland,Woman,Golf,25-34,Gymnastics,155495529
"I see more and more promotion of sports events in which women take part, where this was not the case before.",,,,,,1,,,,1,,,,,Poland,Woman,Tennis,45-54,Rugby,155495917
Equal access,,,,,,,,,,,1,,,,Poland,Woman,Rugby,45-54,Volleyball,155496682
"More and more, in various fields of sport, not only men practice some kind of sport, but also more and more women do too",,,,,,,,,,1,,,,,Poland,Man,Athletics,45-54,Rugby,155496743
"Equalization of wages begins, for example",,,,,,,,,,,,,,1,Poland,Man,Handball,45-54,Basketball,155496777
I watch sports,,,,,,,,,,,,,,1,Poland,Woman,Athletics,55-65,Cycling,155497642
There used to be more men competing,,,,,,,,,,1,,,,,Poland,Woman,Tennis,55-65,Rugby,155500001
More women are considered,,,,,,,,,,,,,,1,Poland,Woman,Volleyball,35-44,Football,155500040
Women's participation is more voluntary,,,,,,,,,,,,,,1,Poland,Woman,Athletics,55-65,Rugby,155500113
for the victory of the women's team,,,,,,,,,,1,,,,,Spain,Woman,Unstated,45-54,,155531362
Exact,,,,,,,,,,,,,,1,Spain,Man,Golf,45-54,Gymnastics,155531394
Not much more,,,,,,,,,,,,,,1,Spain,Woman,Handball,45-54,Rugby,155531419
thanks to football,,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Rugby,155531429
Because more media coverage is being given to women in professional sports.,,,,,,1,,,,,,,,,Spain,Woman,Athletics,45-54,Golf,155531436
Because society also changes.,,,,,,,1,,,,,,,,Spain,Man,Athletics,55-65,Rugby,155531446
Because there is a political and social impulse,,,,,,,,,,,,,,1,Spain,Woman,Tennis,35-44,Rugby,155531449
Because it is having more impact,,,,,,,,,,,,,,1,Spain,Man,Athletics,35-44,Rugby,155531452
Society is more advanced,,,,,,,1,,,,,,,,Spain,Man,Handball,55-65,Tennis,155531460
It is increasingly normal to see women in almost all sports that were previously considered men's. Although there is still a long way to go for pastel equity,,,,,,,,,,1,,,,,Spain,Man,Gymnastics,45-54,Football,155531467
Because of social pressure,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Football,155531474
For society,,,,,,,1,,,,,,,,Spain,Man,Gymnastics,55-65,Rugby,155531494
"Through the media, many negative news in this regard",,,,,,1,,,,,,,,,Spain,Woman,Football,45-54,Rugby,155531517
Because the. Society is evolving and achieving,,,,,,,1,,,,,,,,Spain,Woman,Gymnastics,45-54,Golf,155531520
"Thinking about professional football, which is the most followed sport in Spain, we can see that thanks to the good sporting results and the demands of the athletes, there have been changes in the general perception but there are still changes to be made in the decision-making structures.",,,,,,,,,,,,,,1,Spain,Man,Volleyball,55-65,Golf,155531525
More is being done to protect women's sports,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,55-65,Rugby,155531530
By the laws,,,,,,,,,1,,,,,,Spain,Man,Tennis,35-44,Rugby,155531531
More women's sports,,,,,,,,,,1,,,,,Spain,Woman,Football,45-54,Tennis,155531549
It is opening more to the feminine world.,,,,,,,,,,1,,,,,Spain,Man,Athletics,45-54,Golf,155531554
There are more women who dedicate themselves to sports professionally,,,,,,,,,,1,,,,,Spain,Woman,Unstated,55-65,,155531565
Due to the media impact,,,,,,1,,,,,,,,,Spain,Woman,Athletics,45-54,Football,155531582
for the continued struggle of women,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,55-65,Rugby,155531624
he was given more voice,,,,,,,,,,,,,,1,Spain,Man,Basketball,55-65,Tennis,155531654
More propaganda is given,,,,,,,,,,,,,,1,Spain,Man,Unstated,55-65,,155531662
soccer,,,,,,,,,,,,,,1,Spain,Man,Unstated,55-65,,155531663
"Because they are already integrating into reality, men and women have the same rights",,,,1,,,,,,,,,,,Spain,Man,Athletics,55-65,Football,155531694
because it is displayed more,,,,,,,,,,,,,,1,Spain,Man,Handball,55-65,Gymnastics,155531726
For political interests and to confront society,,,,,,,1,,,,,,,,Spain,Man,Unstated,55-65,,155531862
Because of changing views,,,,,,,1,,,,,,,,UK,Woman,Athletics,25-34,Handball,155534683
The campaign for gender equality,1,,,1,,,,,,1,,,,,UK,Man,Athletics,25-34,Golf,155534684
There have been more opportunities for women in certain sports,,,,,,,,,,1,,,,,UK,Woman,Unstated,25-34,,155534692
Had to be from legislation,,,,,,,,,,,,,,1,UK,Woman,Athletics,25-34,Football,155534695
There have been inroads made such as in women’s football etc,,,,,,,,,,1,,,,,UK,Woman,Unstated,35-44,,155534721
Because there bringing change on it,,,,,,,1,,,,,,,,UK,Man,Football,25-34,Golf,155534788
There is a movement towards to this so this sector is addressing it.,,,,,,,,,,,,,,1,UK,Woman,Football,45-54,Rugby,155538538
Women have become more valued,,,,,,,,,,,,,,1,Sweden,Woman,Football,45-54,Rugby,155541680
Women's sports are becoming more and more popular,,,,,,,,,,1,,,,,Sweden,Woman,Golf,55-65,Rugby,155541718
It is better now,,,,,,,,,,,,,,1,Sweden,Woman,Volleyball,35-44,Golf,155541788
More people of all ethnicities everywhere,,,,,,,,,,,,1,,,France,Woman,Basketball,35-44,Gymnastics,155542032
Because of the fight of high-level athletes,,,,,,,,,,,,,,1,France,Woman,Tennis,55-65,Football,155542141
Mentalities have evolved,,,,,,,1,,,,,,,,France,Woman,Football,25-34,Gymnastics,155542206
"Thanks to networks or television, different sports are more seen and also their female and male participants.",,,,,,,,,,1,,,,,France,Woman,Golf,35-44,Cycling,155542252
It is a social phenomenon which encourages - strongly - to make efforts in this direction.,,,,,,,1,,,,,,,,France,Woman,Golf,55-65,Football,155542636
As society slowly gets used to the fact that women can do this just as well,,,,,,,1,,,1,,,,,Germany,Woman,Rugby,18-24,Basketball,155545442
Because many people are committed to it,,,,,,,,,,,,,,1,Germany,Woman,Gymnastics,18-24,Cycling,155545746
Women’s football is receiving more attention,,,,,,,,,,1,,,,,Germany,Woman,Athletics,55-65,Rugby,155545772
There are many sports disciplines for everyone,,,,,,,,,,1,,,,,Poland,Woman,Athletics,55-65,Football,155545930
boooo tsk I'm thinking,,,,,,,,,,,,,,1,Poland,Man,Volleyball,45-54,Football,155545936
I think people are more open,,,,,,,1,,,,,,,,Poland,Man,Athletics,55-65,Rugby,155546052
Women are perceived more,,,,,,,,,,,,,,1,Poland,Woman,Basketball,55-65,Golf,155546076
"Increased awareness and education, as well as the growing visibility of transgender people in public spaces, contribute to increasing awareness of the need for gender inclusivity in sports.",,,1,,,,,,,1,,,1,,Poland,Man,Volleyball,45-54,Athletics,155546145
That women can now play football with a slightly better salary,,1,,,,,,,,1,,,,,Germany,Woman,Football,18-24,Cycling,155546219
"Gender equality and gender non-definition, e.g. gender binaries",1,,,,,,,,,1,,,,,Poland,Woman,Rugby,45-54,Handball,155546333
"In the past, some sports were not available to women",,,,,,,,,,1,,,,,Poland,Woman,Gymnastics,55-65,Rugby,155546336
Work,,,,,,,,,,,,,,1,Poland,Man,Athletics,45-54,Rugby,155546383
Because women's sports are also eagerly watched and promoted,,,,,,1,,,,1,,,,,Poland,Man,Volleyball,18-24,Rugby,155546385
Because the perspective is generally changing,,,,,,,,,,,,,,1,Germany,Woman,Gymnastics,35-44,Rugby,155546400
Equal chances,,,,,,,,,,,,,,1,Poland,Woman,Tennis,55-65,Rugby,155546450
There is a lot of talk about gender equality,1,,,,,,,,,1,,,,,Poland,Woman,Athletics,45-54,Golf,155546759
We are more aware,,,1,,,,,,,,,,,,Spain,Woman,Tennis,55-65,Rugby,155547215
More investment in women's sports,,,,,,,,,,1,,,,,Spain,Woman,Golf,55-65,Rugby,155547233
It is more visible in all sports,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,55-65,Rugby,155547273
There are sports with professional women's teams that did not exist before,,,,,,,,,,1,,,,,Spain,Woman,Handball,55-65,Rugby,155547284
Professional sports are slowly succumbing to the rightful pressure from public opinion to create equal access to disciplines. There are more and more disciplines in which both sexes can take part in competitions.,,,,,,,,,,1,,,,,Poland,Woman,Tennis,45-54,Rugby,155547292
It gets better over the years,,,,,,,,,,,,,,1,Spain,Woman,Tennis,35-44,Golf,155547350
It is more visible,,,1,,,,,,,,,,,,Spain,Woman,Gymnastics,55-65,Rugby,155547443
because we are increasingly aware of gender equality,1,,,,,,,,,1,,,,,Spain,Woman,Football,55-65,Rugby,155547501
Equal pay,,1,,,,,,,,,,,,,UK,Woman,Golf,18-24,Football,155547536
"Due to social pressure, the freedom to report to the networks. Social. Communication empowerment",,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,45-54,Rugby,155547549
Football,,,,,,,,,,,,,,1,UK,Woman,Gymnastics,18-24,Football,155547554
more visible and other very good female selections,,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,55-65,Handball,155547568
More pressure on sports to be gender inclusive,,,,,,,,,,1,,,,,UK,Woman,Athletics,35-44,Handball,155547592
There is more presence of women in sports,,,,,,,,,,1,,,,,Spain,Woman,Unstated,55-65,,155547607
Wokeism,,,,,,,,,,,,,,1,UK,Man,Football,45-54,Athletics,155547638
Lots more publicity,,,1,,,1,,,,,,,,,UK,Woman,Football,45-54,Rugby,155547668
More equality between men and women,1,,,,,,,,,1,,,,,Spain,Woman,Football,55-65,Golf,155547677
More women in sports,,,,,,,,,,1,,,,,UK,Woman,Gymnastics,18-24,Basketball,155547736
Education and information is available,,,,,,,,,,,1,,,,UK,Woman,Athletics,35-44,Basketball,155547759
It gives you more visibility,,,1,,,,,,,,,,,,Spain,Woman,Athletics,55-65,Rugby,155547783
There are more women playing at the professional level,,,,,,,,,,1,,,,,Spain,Woman,Gymnastics,45-54,Rugby,155547797
There has been more awareness about gender equality,1,,1,,,,1,,,1,,,,,Spain,Woman,Tennis,55-65,Rugby,155547807
