text,Sport specific mention,Equal opportunities / good opportunities in general,Physical contact/Masculine,Earnings related,Popularity and impact,Equal representation,Inclusive sport participation,Gender Equality,Women in Sports,Female representation,Discrimination themes,Media visibility / awareness,Other,Country,Gender,Most inclusive Sport,Age,Least inclusive Sport,ResponseId
Because women's soccer wins more than men's soccer,,,,,,,,,,1,,,,Sweden,Woman,Football,45-54,Gymnastics,155654440
Money goes to their heads and they think they are above everything,,,,1,,,,,,,,,,France,Woman,Football,45-54,Gymnastics,155654463
Mixes doubles is common,,,,,,,,,,,,,1,UK,Man,Tennis,55-65,Handball,155654483
Many women practice it,,,,,,,,,,1,,,,France,Man,Handball,35-44,Golf,155654490
More inclusive,,,,,,,1,,,,,,,Sweden,Woman,Gymnastics,18-24,Rugby,155654492
More women than in other sports,,,,,,,,,1,1,,,,France,Woman,Gymnastics,45-54,Football,155654499
Participation of both sexes is equal,,,,,,,,1,,,,,,Sweden,Man,Tennis,55-65,Rugby,155654501
We only see male broadcasts,,,,,,,,,,,,1,,France,Woman,Rugby,45-54,Tennis,155654504
There are men and women football,1,,,,,,,,,,,,,Germany,Man,Football,55-65,Basketball,155654517
Women’s football has always existed,1,,,,,,,,,,,,,Germany,Woman,Football,45-54,Rugby,155654540
Both sexes have a level playing field,,,,,,1,,,,,,,,UK,Man,Tennis,55-65,Cycling,155654542
Do not know,,,,,,,,,,,,,1,Sweden,Woman,Athletics,45-54,Basketball,155654543
A lot of girls are shown doing it and publicised,,,,,,,,,,,,,1,UK,Woman,Gymnastics,25-34,Rugby,155654545
Question of feeling,,,,,,,,,,,,,1,France,Man,Gymnastics,55-65,Athletics,155654546
Equality TV broadcasting,,,,,,,,1,,,,1,,France,Woman,Volleyball,35-44,Football,155654556
It's a common game,,,,,,,,,,,,,1,UK,Man,Football,25-34,Rugby,155654557
There are mixed teams,,,,,,,,,,,,,1,Sweden,Woman,Gymnastics,35-44,Volleyball,155654559
Because he is the one who democratized women,,,,,,,,,,1,,,,France,Woman,Tennis,45-54,Handball,155654580
Because there are mixed competitions,,,,,,,,,,,,,1,Sweden,Woman,Golf,45-54,Cycling,155654588
There are the same amount of women as men competing and they both get shown on mainstream tv,,,,,,,,,,,,1,,UK,Man,Athletics,35-44,Basketball,155654624
Just a feeling I have where both men and women get media space. Then I don't know what the actual decision-making looks like,,,,,,,,,,,,1,,Sweden,Man,Athletics,45-54,Rugby,155654626
Feeling,,,,,,,,,,,,,1,Sweden,Man,Football,55-65,Golf,155654636
Think it’s always been fully acceptable,,,,,,,,,,,,,1,UK,Woman,Cycling,55-65,Football,155654638
You see as many women as men competing in all types of athletics,,,,,,,,,,1,,,,UK,Woman,Athletics,45-54,Rugby,155654654
What does gender inclusive mean?,,,,,,,,,,,,,1,Sweden,Man,Athletics,18-24,Football,155654673
Because it's for girls,,,,,,,,,,1,,,,France,Woman,Gymnastics,45-54,Volleyball,155654675
Competing in the same arena,,,,,,,,1,,,,,,Sweden,Man,Athletics,45-54,Rugby,155654679
I just seem to see a lot of female golfer of the internet,1,,,,,,,,,,,,,UK,Man,Golf,35-44,Handball,155654713
About skill not gender,,,,,,,,,,,,,1,UK,Woman,Volleyball,18-24,Golf,155654715
definitely,,,,,,,,,,,,,1,Poland,Woman,Tennis,45-54,Football,155654736
Man and woman competing,,,,,,,,,,,,,1,France,Woman,Tennis,35-44,Volleyball,155654740
there are the same or very similar events for all,,,,,,,,1,,,,,,UK,Woman,Athletics,55-65,Rugby,155654745
Because all have played for many years,,,,,,,,,,,,,1,UK,Woman,Tennis,55-65,Golf,155654749
I think that both women and men are welcome there and both are interested in it,,,,,,1,,,,,,,,Germany,Woman,Volleyball,18-24,Rugby,155654755
Feeling that it has many female practitioners,,,,,,,,,,1,,,,Sweden,Woman,Gymnastics,35-44,Rugby,155654756
Both sexes played for years,,,,,,1,,,,,,,,UK,Woman,Tennis,55-65,Rugby,155654760
I'm not that familiar with cycling but it feels like a sport where women & men have the same conditions,,,,,,,,1,,,,,,Sweden,Woman,Cycling,18-24,Rugby,155654769
no discriminatory dress codes,,,,,,,,,,,1,,,Germany,Woman,Golf,55-65,Gymnastics,155654779
Perception of equal value,,,,,,,,1,,,,,,Sweden,Woman,Handball,45-54,Volleyball,155654784
It's the most high profile,,,,,,,,,,,,,1,UK,Woman,Football,35-44,Handball,155654785
It has women’s football,1,,,,,,,,,,,,,UK,Woman,Football,25-34,Golf,155654796
both can play,,,,,,1,,,,,,,,UK,Man,Football,35-44,Volleyball,155654800
Personal opinion,,,,,,,,,,,,,1,France,Man,Tennis,25-34,Golf,155654807
"Gymnastics combines predispositions that both men and women can have, i.e. strength and flexibility.",1,,,,,,,,,,,,,Poland,Woman,Gymnastics,25-34,Rugby,155654821
Everyone can take part in it,,,,,,,1,,,,,,,Poland,Woman,Gymnastics,25-34,Cycling,155654822
because famous tennis stars are both women and men,1,,,,1,,,,,,,,,Poland,Woman,Tennis,25-34,Golf,155654840
Because I believed it,,,,,,,,,,,,,1,Sweden,Woman,Football,25-34,Golf,155654851
I just have that impression.,,,,,,,,,,,,,1,Germany,Man,Handball,45-54,Golf,155654853
Because it is a sport that is often classified as female and there are many women who get opportunities in gymnastics,1,1,,,,,,,,,,,,Sweden,Woman,Gymnastics,18-24,Rugby,155654859
Is a feeling I have,,,,,,,,,,,,,1,Sweden,Man,Tennis,35-44,Rugby,155654865
Most.popular women,,,,,1,,,,,1,,,,Poland,Woman,Volleyball,45-54,Handball,155654868
Shows the most equal in genders,,,,,,,,1,,,,,,UK,Woman,Gymnastics,25-34,Handball,155654871
I think so,,,,,,,,,,,,,1,Poland,Woman,Tennis,45-54,Rugby,155654877
Bpde men and women compete in the same context,,,,,,,,1,,,,,,Sweden,Woman,Athletics,45-54,Rugby,155654883
Men and women have always participated at the same level with same coverage,,,,,,,,1,,,,,,UK,Woman,Gymnastics,25-34,Handball,155654886
is recognized,,,,,,,,,,,,,1,Germany,Woman,Football,55-65,Gymnastics,155654887
There are as many men as women,,,,,,,,,,1,,,,France,Man,Gymnastics,35-44,Athletics,155654893
Both are watched and covered as much as eachother,,,,,,1,,,,,,,,UK,Man,Tennis,18-24,Football,155654899
"When shown on television, both genders are valued.",,,,,,1,,,,,,,,UK,Man,Tennis,25-34,Rugby,155654901
The female stars are respected and not compared to men,,,,,,,,,,1,,,,Sweden,Man,Athletics,35-44,Rugby,155654903
It is a promoted sport,,,,,,,,,,,,1,,Poland,Woman,Basketball,25-34,Golf,155654909
Women can succeed in sports just as much as men,,,,,,,,,,1,,,,Sweden,Woman,Tennis,45-54,Rugby,155654917
Both women and men can participate,,,,,,1,,,,,,,,Poland,Woman,Gymnastics,35-44,Football,155654942
both men and women's athletics are showcased on TV equally and have been for a long time. Also both boys and girls do athletics at school,,,,,,,,,,,,1,,UK,Woman,Athletics,45-54,Handball,155654955
"Both sexes are able to compete, there are no limits due to strength",,,,,,1,,,,,,,,Poland,Woman,Gymnastics,25-34,Football,155654961
I see a lot of women and men on the Olympic athletics,,,,,,,,,,1,,,,UK,Woman,Athletics,18-24,Handball,155654964
Both women and men play golf,1,,,,,,,,,,,,,Poland,Woman,Golf,25-34,Athletics,155654966
Men only,,,,,,,,,,,,,1,Sweden,Woman,Football,18-24,Tennis,155654967
The one we talk about more these days,,,,,,,,,,,,,1,France,Woman,Gymnastics,35-44,Tennis,155654969
It just is,,,,,,,,,,,,,1,Sweden,Man,Football,35-44,Rugby,155654970
Same retribution for Roland garroq,,,,,,,,1,,,,,,France,Woman,Tennis,35-44,Athletics,155654971
It encourages both gender,,,,,,1,,,,,,,,UK,Man,Basketball,25-34,Athletics,155654973
"Safe, slightly pleasant, less emotions and that's what women prefer",,,,,,,,,,1,,,,Poland,Woman,Handball,35-44,Rugby,155654978
Very good sport,,,,,,,,,,,,,1,Sweden,Man,Golf,18-24,Football,155654982
Because there are often women in clubs,,,,,,,,,1,1,,,,Poland,Man,Football,45-54,Athletics,155654985
There are equal opportunities for everyone.,,1,,,,,,1,,,,,,Germany,Man,Football,45-54,Rugby,155654995
Because only men do it,,,,,,,,,,1,,,,Poland,Woman,Rugby,55-65,Handball,155655001
Its the most loved sport in the world by all,,,,,,,,,,,,,1,UK,Man,Football,25-34,Rugby,155655005
the player is often alone in deciding,,,,,,,,,,,,,1,France,Woman,Tennis,35-44,Football,155655018
There is an equal division between genders,,,,,,,,1,,,,,,Poland,Woman,Athletics,25-34,Handball,155655032
Because it's a sport for women,,,,,,,,,1,1,,,,Poland,Man,Tennis,25-34,Handball,155655053
Because it is the one that has the most voice in both men and women,,,,,,,,,,1,,,,Spain,Woman,Football,25-34,Golf,155655055
"It is not necessary to have large muscles and therefore the biological gap between women and men is almost non-existent, being equal.",,,,,,,,1,,,,,,Spain,Woman,Volleyball,25-34,Football,155655056
Paralypic Games,,,,,,,,,,,,,1,France,Woman,Athletics,55-65,Football,155655065
Everything is correct,,,,,,,,,,,,,1,Spain,Woman,Volleyball,18-24,Rugby,155655066
Because men and women participate equally.,,,,,,,,1,,,,,,Spain,Man,Athletics,55-65,Football,155655075
both are equally poorly supported,,,,,,,,1,,,,,,Germany,Man,Volleyball,55-65,Rugby,155655081
I hear more about women’s/men’s football than any other sport,1,,,,,,,,,1,,1,,UK,Woman,Football,18-24,Golf,155655082
because there are both women and men in golf,1,,,,,,,,,,,,,Sweden,Man,Golf,18-24,Handball,155655085
Attack exactly,,,,,,,,,,,,,1,Poland,Woman,Golf,35-44,Tennis,155655089
women's football is also popular,1,,,,1,,,,,,,,,Spain,Woman,Football,18-24,Tennis,155655090
Because practically only men play,,,,,,,,,,1,,,,Spain,Man,Rugby,25-34,Athletics,155655094
The example of our winners of my feminine dial,,,,,,,,,,,,,1,Spain,Woman,Football,35-44,Rugby,155655095
There is still a long way to go but important steps are being taken in my country.,,,,,,,,,,,,,1,Spain,Man,Football,55-65,Rugby,155655109
Because all aspects are more equitable,,,,,,,,,,,,,1,Spain,Man,Tennis,45-54,Football,155655111
It's where I see more athletes come out,,,,,,,,,,,,1,,Spain,Man,Gymnastics,45-54,Football,155655119
It is a purely feminine sport,,,,,,,,,,,,,1,Spain,Man,Gymnastics,35-44,Rugby,155655120
Everyone has equal chances,,,,,,,,1,,,,,,Poland,Man,Gymnastics,35-44,Rugby,155655121
Due to the virality of last year's world cup,,,,,,,,,,,,,1,Spain,Man,Football,25-34,Golf,155655125
Widespread gender equality in this sport,,,,,,,,1,,,,,,Poland,Woman,Volleyball,25-34,Cycling,155655131
Because any gender can compete with anyone,,,,,,,,,,,,,1,Poland,Man,Tennis,45-54,Volleyball,155655135
Is the best,,,,,,,,,,,,,1,Spain,Woman,Football,45-54,Rugby,155655136
Both men and women are popular,,,,,1,,,,,1,,,,Spain,Woman,Tennis,35-44,Rugby,155655141
"You can meet a lot of people with different skin colors, origins and orientations there",,,,,,,,,,,,,1,Poland,Woman,Tennis,18-24,Football,155655143
Women perform better,,,,,,,,,,1,,,,Poland,Man,Gymnastics,25-34,Rugby,155655144
Because everyone has the same rights and gets paid for what they generate,,,,,,,,1,,,,,,Spain,Man,Football,18-24,Golf,155655147
Because definitely more women do it,,,,,,,,,,1,,,,Poland,Woman,Gymnastics,25-34,Football,155655149
"It is already deeply rooted, for years, and women have more flexibility than men.",,,,,,,,,,1,,,,Spain,Woman,Gymnastics,45-54,Cycling,155655151
Where there are more possibilities of success,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Golf,155655159
Lots of women's teams,,,,,,,,,,1,,,,Poland,Man,Handball,35-44,Golf,155655162
Because there have always been women tennis players,1,,,,,,,,,,,,,Spain,Woman,Tennis,45-54,Rugby,155655165
Equality between the sexes is very visible,,,,,,,,1,,,,,,Poland,Woman,Athletics,25-34,Football,155655166
because all types of genres are played,,,,,,,,,,,,,1,Spain,Man,Handball,18-24,Golf,155655168
Because almost everyone is represented there,,,,,,,1,,,,,,,France,Woman,Athletics,25-34,Rugby,155655182
That's how it seems to me,,,,,,,,,,,,,1,Spain,Woman,Football,35-44,Rugby,155655185
because it is mainly women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Rugby,155655186
Whoever wants to practice it with a simple ball,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Tennis,155655188
Because women and men are represented here,,,,,,,,,,1,,,,Germany,Woman,Football,55-65,Rugby,155655193
because it has always been considered a women's sport,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Rugby,155655195
"Because it is not as stuffed with money as, for example, men's football and it is not dominated by men.",1,,,1,,,,,,,,,,Poland,Woman,Gymnastics,35-44,Golf,155655196
"Because more importance is given to the masculine, not so much to the feminine.",,,1,,,,,,,,,,,Spain,Woman,Football,18-24,Cycling,155655198
Has become so established in recent years,,,,,,,,,,,,,1,Germany,Man,Football,55-65,Rugby,155655207
That's where I've mostly seen it split equally between the sexes. I have only noticed one deviation which is the economy. Women are paid less and sold to other leagues less,,,,,,,,1,,,,,,Sweden,Woman,Football,18-24,Golf,155655209
"Women's tennis has always been given a lot of audience, I still remember Arancha Sánchez Vicario for example",1,,,,,,,,,,,,,Spain,Woman,Tennis,35-44,Golf,155655211
because historically women dominated that sport and had more recognition than their male gymnast colleagues.,1,,,,,,,,,,,,,Spain,Man,Gymnastics,45-54,Rugby,155655212
Often women are gymnasts,1,,,,,,,,,1,,,,Poland,Woman,Gymnastics,18-24,Rugby,155655215
As women always been in this sport high profile,,,,,,,,,,1,,,,UK,Woman,Gymnastics,45-54,Rugby,155655217
"Yes, there have been female tennis players for many years and they are given the importance they deserve",1,,,,,,,,,,,,,Spain,Woman,Tennis,45-54,Golf,155655218
Because it is a sport that has always had the same number of women as men.,1,,,,,,,,,,,,,Spain,Woman,Gymnastics,18-24,Rugby,155655219
Because fewer differentiations tend to be made between men and women,,,,,,,,,,1,,,,Spain,Woman,Athletics,25-34,Football,155655221
because more women participate,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Football,155655226
Because they discriminate a lot against minorities,,,,,,,,,,,1,,,Spain,Woman,Football,35-44,Tennis,155655230
because there are championships of both types and they do not make distinctions,,,,,,1,,,,,,,,Spain,Woman,Volleyball,35-44,Cycling,155655237
Because of its large number of women,,,,,,,,,,1,,,,Spain,Woman,Volleyball,35-44,Football,155655243
because women are usually seen in the same way as men,,,,,,,,1,,,,,,Spain,Woman,Athletics,18-24,Rugby,155655244
Because women are valued more,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,18-24,Rugby,155655245
There are more women than men,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,18-24,Football,155655249
It is where there is the most important presence of women,,,,,,,,,,1,,,,Spain,Woman,Tennis,25-34,Handball,155655250
Because I see more variety,,,,,,,,,,,,1,,Spain,Woman,Gymnastics,45-54,Rugby,155655251
I don't think there are so many differences in terms of conditions or I even think that it is in sport that it would be more feasible for the rivals to be men and women.,1,,,,,,,,,,,,,Spain,Woman,Tennis,25-34,Football,155655253
"There are many female and male icons in this sport. At the highest level, it appears that both sexes have equal opportunities and there is equal representation.",,1,,,,,1,,,,,,,Spain,Woman,Tennis,25-34,Football,155655255
It is more normalized for women to play,,,,,,,,,,1,,,,Spain,Woman,Volleyball,18-24,Golf,155655256
Because they charge according to what they generate,,,,,,,,,,,,,1,Spain,Man,Football,18-24,Cycling,155655258
More and more athletes decide to come out,,,,,,,,,,,,,1,Poland,Woman,Athletics,35-44,Golf,155655259
nice sport,,,,,,,,,,,,,1,Poland,Man,Tennis,45-54,Athletics,155655261
There are women and men,,,,,,,,,,1,,,,Spain,Woman,Volleyball,45-54,Handball,155655264
X the variety of genres,,,,,,,,,,,,,1,Spain,Woman,Athletics,25-34,Golf,155655265
More visibility,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Rugby,155655268
Because the gender doesn't matter,,,,,,,,,,,,,1,Spain,Woman,Golf,18-24,Gymnastics,155655269
Because there are both men and women,,,,,,,,,,1,,,,Spain,Woman,Tennis,45-54,Golf,155655270
"I think it is not a sport that has a large audience, therefore it is not like football where you expect a lot from the sport and it has always been seen that men play it.",1,,,,,,,,,,,,,Spain,Woman,Golf,18-24,Basketball,155655272
because rhythmic and sports gymnastics exist,1,,,,,,,,,,,,,Spain,Woman,Gymnastics,18-24,Football,155655274
Because in athletics there are more opportunities and it is easier to access,,1,,,,,,,,,,,,Spain,Man,Athletics,25-34,Football,155655275
There is no gender difference between men and women,,,,,,,,,,1,,,,Spain,Woman,Athletics,18-24,Football,155655281
Tennis is more feminine,1,,,,,,,,,,,,,Poland,Man,Tennis,35-44,Rugby,155655284
Mostly women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Football,155655287
All are equal,,,,,,,,1,,,,,,Spain,Woman,Volleyball,55-65,Basketball,155655288
"Because in gymnastics, the most important factor is flexibility and resistance, something that I believe is not influenced by the person's gender.",1,,,,,,,,,,,,,Spain,Woman,Gymnastics,45-54,Rugby,155655293
"because there are both men and women who participate in this sport, without any type of rejection or discrimination",,,,,,,,,,,1,,,Spain,Woman,Gymnastics,18-24,Rugby,155655297
Beliefs,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Rugby,155655299
Because everyone participates in it,,,,,,,1,,,,,,,Spain,Woman,Gymnastics,35-44,Rugby,155655300
There are more female gymnasts,1,,,,,,,,,,,,,Spain,Woman,Gymnastics,35-44,Cycling,155655302
Why do you accept everything?,,,,,,,,,,,,,1,Spain,Woman,Tennis,18-24,Basketball,155655304
I don't know,,,,,,,,,,,,,1,Spain,Woman,Golf,35-44,Rugby,155655307
There are an incredible number of women who practice the sport. And there are races where men and women compete against each other.,,,,,,,,,,1,,,,Sweden,Man,Cycling,35-44,Rugby,155655312
Because a lot of work is being done so that there are more girls,,,,,,,,,,1,,,,Spain,Man,Football,18-24,Rugby,155655316
Because I see that they treat men and women the same.,,,,,,,,1,,,,,,Spain,Woman,Gymnastics,25-34,Football,155655318
It is the best known sport that includes both genders,1,,,,,,,,,,,,,Spain,Woman,Gymnastics,25-34,Rugby,155655319
For what the women's team has achieved,,,,,,,,,,1,,,,Spain,Woman,Football,18-24,Gymnastics,155655320
It is the one in which girls participate the most due to inclusion,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,18-24,Football,155655321
they make effort,,,,,,,,,,,,,1,Spain,Man,Gymnastics,55-65,Tennis,155655322
Because there are many athletics organizations and associations aimed at inclusive sports.,,,,,,,1,,,,,,,Spain,Woman,Athletics,18-24,Rugby,155655324
"I think that tennis is a sport with a less -falton- public that respects the players more and judges the person who plays but rather their technique, unlike in other sports.",1,,,,,,,,,,,,,Spain,Woman,Tennis,18-24,Rugby,155655327
I have seen that there is more participation,,,,,,,,,,,,,1,Spain,I prefer not to say,Football,35-44,Athletics,155655330
because men and women participate equally,,,,,,,,1,,,,,,Spain,Woman,Gymnastics,25-34,Football,155655331
Don't know,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,18-24,Cycling,155655332
It is more common in women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,18-24,Football,155655334
Because I have practiced it and it is one of the most inclusive sports regardless of your gender.,,,,,,,1,,,,,,,Spain,Woman,Rugby,18-24,Football,155655336
All genders are known equally to participate,,,,,,,,1,,,,,,UK,Man,Volleyball,18-24,Football,155655343
Because it is a feninized sport,,,,,,,,,,,,,1,Spain,Woman,Gymnastics,25-34,Football,155655345
Because the individual technique is seen more,,,,,,,,,,,,,1,Spain,Woman,Golf,25-34,Gymnastics,155655348
It is not,,,,,,,,,,,,,1,Spain,Woman,Football,18-24,Gymnastics,155655349
I have seen many more women participate in this sport than in the rest,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Rugby,155655350
"Because it doesn't depend on gender, but on how good you are.",,,,,,,,,,,,,1,Spain,Woman,Athletics,45-54,Football,155655355
It's obvious.,,,,,,,,,,,,,1,Poland,Woman,Handball,55-65,Football,155655357
It is believed that it is only a sport for men,,,,,,,,,,,,,1,Spain,Woman,Football,18-24,Gymnastics,155655358
Because it is individual,,,,,,,,,,,,,1,Spain,Woman,Cycling,18-24,Rugby,155655359
Yes,,,,,,,,,,,,,1,Poland,Woman,Gymnastics,35-44,Football,155655361
Because it is only seen well in women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Volleyball,155655371
Because cycling is a sport in which there are no injustices,,,,,,,,,,,,,1,Spain,Woman,Cycling,25-34,Athletics,155655372
Because they don't give it the same importance,,,,,,,,1,,,,,,Spain,Woman,Football,25-34,Volleyball,155655375
Because women can do everything,,,,,,,,,,1,,,,Spain,Woman,Football,55-65,Golf,155655377
Yeah,,,,,,,,,,,,,1,Spain,Woman,Basketball,35-44,Handball,155655378
Women are more represented in this sport,,,,,,,,,,1,,,,Spain,I prefer not to say,Volleyball,35-44,Tennis,155655379
There is more inclusion,,,,,,,,,,,,,1,Spain,Woman,Football,25-34,Cycling,155655380
Because men and women can practice it and even play against men vs women.,,,,,,,,,,1,,,,Spain,Woman,Volleyball,18-24,Basketball,155655385
Because there are more famous athletes like Arancha Sánchez Vicario,,,,,1,,,,,,,,,Spain,Woman,Tennis,35-44,Basketball,155655386
"Volleyball is perceived as a highly gender-inclusive sport because both men and women participate in high-level competitions with equal representation in terms of visibility, opportunities and institutional support.",1,1,,,,,1,,,,,,,Spain,Woman,Volleyball,18-24,Gymnastics,155655387
is a beautiful sport,,,,,,,,,,,,,1,Poland,Man,Gymnastics,35-44,Tennis,155655388
Soccer,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Golf,155655389
Due to the different modalities where women predominate,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,35-44,Rugby,155655391
It is usually a sport more practiced by women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,18-24,Golf,155655392
Traditionally there have been more women in gymnastics,1,,,,,,,,1,1,,,,Spain,Woman,Gymnastics,35-44,Football,155655393
Because you see participants of any gender,,,,,,,,,,,,,1,Spain,Woman,Athletics,18-24,Gymnastics,155655394
I think that gymnastics shows a lot of support in high-profile media sites such as television or newspapers.,1,,,,,,,,,,,1,,Spain,Woman,Gymnastics,25-34,Rugby,155655395
There are many athletic women,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Rugby,155655398
The best known,,,,,,,,,,,,,1,Spain,Woman,Basketball,35-44,Golf,155655399
More women practice it,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Football,155655400
Because women have been allowed to come forward more over the years.,,,,,,,,,,1,,,,Sweden,Woman,Football,35-44,Volleyball,155655401
I think so,,,,,,,,,,,,,1,Poland,Woman,Rugby,45-54,Basketball,155655406
because there is not so much discrimination there,,,,,,,,,,,1,,,Poland,Woman,Volleyball,35-44,Rugby,155655417
It is where women stand out more,,,,,,,,,,1,,,,Spain,Woman,Gymnastics,25-34,Rugby,155655419
respects parity,,,,,,,,,,,,,1,Spain,Woman,Tennis,45-54,Rugby,155655420
For the participation of women,,,,,,,,,,1,,,,Spain,Man,Golf,35-44,Cycling,155655422
Because of the results achieved,,,,,,,,,,,,,1,Poland,Man,Cycling,25-34,Tennis,155655423
Because it's easy,,,,,,,,,,,,,1,Poland,Woman,Gymnastics,25-34,Football,155655425
They are many players from both genders,,,,,,1,,,,,,,,UK,Woman,Volleyball,18-24,Football,155655428
It is a sport with inclusion,,,,,,,,,,,,,1,Spain,Man,Volleyball,25-34,Handball,155655434
For having similar media attention,,,,,,,,,,,,1,,Spain,Man,Basketball,45-54,Golf,155655439
because there are both men's and women's gymnastics,1,,,,,,,,,,,,,Germany,Woman,Gymnastics,55-65,Rugby,155655443
"Personally, I feel that both female and male success is seen clearly and celebrated in Tennis",1,,,,,,,,,,,,,UK,Woman,Tennis,18-24,Rugby,155655444
It's always had both genders compete in equal sports,,,,,,,,1,,,,,,UK,Woman,Athletics,45-54,Rugby,155655453
it offers equal opportunities for both men and women to compete at the highest levels,,1,,,,,,1,,,,,,UK,Woman,Athletics,25-34,Cycling,155655462
Because mostly single players act here,,,,,,,,,,,,,1,Germany,Man,Tennis,55-65,Golf,155655478
Yes,,,,,,,,,,,,,1,Poland,Woman,Tennis,35-44,Football,155655480
"Given current technologies, everything is accessible",,,,,,,,,,,,,1,France,Man,Athletics,55-65,Golf,155655509
Men and women work equally.,,,,,,,,1,,,,,,Spain,Woman,Gymnastics,35-44,Golf,155655515
Because those individual,,,,,,,,,,,,,1,Spain,Man,Athletics,55-65,Handball,155655518
All ways have both sexes on TV,,,,,,,,,,,,1,,UK,Woman,Gymnastics,45-54,Rugby,155655531
More chances,,,,,,,,,,,,,1,Spain,Man,Athletics,25-34,Football,155655572
"Volleyball is often perceived as one of the most gender-inclusive professional sports for several reasons such as the diversity of the teams, the visibility of mixed competitions or the history of inclusion.",1,,,,,,1,,,,,,,France,Woman,Volleyball,25-34,Gymnastics,155655603
coeducation,,,,,,,,,,,,,1,France,Woman,Athletics,35-44,Football,155655604
Active to play,,,,,,,,,,,,,1,UK,Man,Football,25-34,Handball,155655611
you see both men and woman doing gymnatsistcs.,1,,,,,,,,,,,,,UK,Woman,Gymnastics,18-24,Football,155655612
participation rates are more equal,,,,,,,,1,,,,,,Poland,Man,Athletics,55-65,Tennis,155655624
Because the discipline is organized and adapted so that all genders can practice it.,,,,,,,,,,,,,1,France,Woman,Tennis,25-34,Football,155655634
Both male and female competitors are equally recognised and supported,,,,,,,,1,,,,,,UK,Woman,Gymnastics,18-24,Basketball,155655644
Because there are women and men athletes and events.,,,,,,,,,,1,,,,UK,Woman,Athletics,55-65,Basketball,155655645
It is more so now,,,,,,,,,,,,,1,UK,Woman,Football,55-65,Basketball,155655647
Great diversity,,,,,,,1,,,,,,,France,Man,Volleyball,25-34,Golf,155655650
"I am a big fan of this sport, so I know it very well.",,,,,,,,,,,,,1,France,Woman,Handball,25-34,Football,155655664
Women are seen as the best,,,,,,,,,,1,,,,UK,Man,Gymnastics,55-65,Handball,155655680
It is the most diverse,,,,,,,,,,,,,1,Spain,Man,Football,35-44,Rugby,155655689
i often hear about  female tennis players,1,,,,,,,,,,,1,,UK,Woman,Tennis,18-24,Rugby,155655708
because women's tennis is seen and is as important or more important than men's tennis,1,,,,,,,,,,,,,Spain,Man,Tennis,35-44,Cycling,155655725
Becuase it requires a strong physics,,,1,,,,,,,,,,,UK,Man,Rugby,25-34,Basketball,155655747
Everyone can participate,,,,,,,1,,,,,,,UK,Woman,Gymnastics,25-34,Golf,155655755
"women are represented, everyone earns equally",,,,,,,1,,,,,,,Germany,I identify in another way,Gymnastics,25-34,Football,155655756
Because it is a sport with a little more equality,,,,,,,,1,,,,,,Spain,Man,Tennis,25-34,Cycling,155655761
Both genders often seen taking part.,,,,,,1,,,,,,,,UK,Woman,Athletics,18-24,Volleyball,155655762
it’s fun,,,,,,,,,,,,,1,UK,Woman,Football,18-24,Cycling,155655779
Because a woman earns the same money as a man,,,,1,,,,,,,,,,Spain,Man,Tennis,35-44,Rugby,155655838
Equal opportunities and tournaments for men and women,,1,,,,,,1,,,,,,UK,Woman,Volleyball,18-24,Football,155655839
Most shown for the longest time,,,,,,,,,,,,,1,UK,Woman,Golf,25-34,Basketball,155655846
Because they compete in the same tournaments.,,,,,,,,1,,,,,,Spain,Man,Tennis,35-44,Rugby,155655849
They have the most similar disciplines,,,,,,,,,,,,,1,UK,Man,Gymnastics,45-54,Rugby,155655855
Increase publicity puts it at the forefront,,,,,,,,,,,,,1,UK,Woman,Football,25-34,Golf,155655868
"The tests are the same for both women and men, unlike in basketball, which uses a less heavy ball.",,,,,,1,,,,,,,,Spain,Man,Athletics,45-54,Football,155655872
Don't know just think,,,,,,,,,,,,,1,Sweden,Man,Cycling,18-24,Tennis,155655873
The last few years have seen more gender inclusion than in the past 100 years,,,,,,,,,,,,,1,UK,Woman,Athletics,45-54,Basketball,155655881
